,Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
0,1,9,1,60,30,2,1,3,73,129,0,0,800,846
1,1,17,1,60,58,3,1,1,48,131,0,0,1000,1658
2,2,10,2,36,46,2,2,3,90,200,3000,0,2000,2985
3,1,0,1,60,24,1,1,1,63,182,2500,0,900,1325
4,1,0,1,36,26,1,1,1,46,107,0,0,310,910
5,1,1,2,60,36,2,1,1,75,214,3500,0,650,1645
6,1,29,2,60,44,2,1,1,75,125,10000,0,1600,1800
7,1,9,5,12,27,1,1,1,35,80,0,0,200,1093
8,1,0,2,60,32,2,1,3,90,107,15000,0,1200,1957
9,2,0,5,48,41,2,1,2,90,80,0,0,1200,1468
10,1,6,2,48,34,2,1,3,60,125,4000,0,1150,1577
11,1,7,2,36,29,2,1,1,60,121,3000,0,650,915
12,1,8,2,60,30,2,1,1,75,199,5000,2500,1500,1650
13,1,19,3,36,37,2,1,1,75,170,3500,260,600,940
14,2,0,6,18,21,1,2,2,35,50,0,0,400,500
15,1,0,2,24,68,2,1,1,75,131,4162,0,900,1186
16,1,15,3,24,52,1,1,3,35,330,16500,0,1500,2201
17,1,33,1,24,68,2,1,3,65,200,5000,2000,600,1350
18,2,0,4,48,36,2,1,2,45,130,750,0,1100,1511
19,1,1,5,60,31,1,1,1,35,137,0,0,1250,1253
20,2,2,1,60,25,1,1,1,46,107,0,0,1500,2189
21,1,5,2,60,22,1,1,1,45,324,10000,0,1100,1159
22,2,1,2,60,45,2,1,2,105,112,2000,500,600,1332
23,1,27,1,60,41,2,1,1,74,140,0,0,950,1497
24,1,26,2,60,51,2,1,1,45,143,3500,0,1350,1357
25,1,12,2,36,54,2,1,1,60,130,4000,0,700,2100
26,1,19,2,60,43,1,1,1,75,180,4000,0,1000,1070
27,1,15,2,36,43,2,1,1,75,251,4000,0,1800,2557
28,2,3,2,24,23,2,1,1,75,85,5000,0,600,1600
29,2,0,0,48,37,1,1,0,35,99999999,99999999,99999999,1500,1850
30,1,4,2,48,29,2,1,1,45,150,5000,3300,1100,1312
31,2,0,2,36,23,1,1,2,45,122,2500,0,400,400
32,1,14,3,24,51,2,1,2,75,198,1000,0,450,650
33,1,10,2,36,39,2,1,3,75,150,3000,0,1000,1394
34,1,12,5,36,35,1,1,1,35,170,0,0,1100,1542
35,1,32,2,24,62,2,1,3,45,119,8500,0,700,1200
36,1,10,2,24,56,2,1,3,45,208,13500,0,500,1560
37,1,7,2,48,32,2,1,1,75,115,3000,0,800,1200
38,2,1,1,54,36,2,1,1,70,99,0,0,950,950
39,1,30,2,60,64,2,1,1,45,120,14000,0,1125,1300
40,2,5,1,48,31,1,1,1,44,90,0,0,1300,1700
41,1,24,2,60,42,2,1,1,75,137,4000,0,900,1167
42,1,0,2,60,61,3,1,4,35,230,50000,0,950,1150
43,2,0,2,60,32,2,2,1,45,142,7000,3000,1250,1566
44,2,2,2,60,43,2,1,2,75,71,3000,0,1500,1552
45,1,1,5,60,26,1,1,2,35,120,0,0,1150,1300
46,1,1,2,60,49,3,1,3,35,233,15900,4500,2100,2104
47,1,15,2,36,47,2,1,1,75,289,3500,0,1500,2154
48,2,2,1,36,27,4,1,1,48,128,0,0,450,545
49,1,25,2,36,52,2,1,3,60,150,15000,0,750,1778
50,1,8,2,60,28,2,1,1,60,145,4000,1000,1600,1718
51,1,5,2,60,31,2,1,1,75,90,4000,0,900,1500
52,1,0,1,60,32,2,1,1,105,301,0,0,1200,1274
53,1,5,2,36,51,2,1,3,75,200,2100,1200,900,1015
54,1,3,5,12,37,2,1,3,60,150,500,0,500,1701
55,2,1,1,48,29,2,2,3,85,100,0,0,1000,1345
56,1,7,5,60,26,1,1,1,35,100,0,0,1000,1238
57,1,4,5,30,27,1,1,1,45,100,5000,0,500,1048
58,1,6,2,24,63,2,1,1,60,155,4000,0,600,1048
59,1,14,2,24,55,2,1,1,90,715,5000,0,800,1324
60,1,3,1,60,28,2,1,1,70,245,0,0,1830,2201
61,1,8,1,48,31,2,1,1,90,150,0,0,1100,1430
62,2,4,5,42,27,1,1,1,35,70,0,0,600,926
63,1,22,2,24,40,2,1,1,75,190,3000,0,1000,1500
64,1,2,2,36,35,2,1,1,75,152,3000,0,1000,1542
65,1,15,3,60,43,2,1,1,75,126,3000,0,1350,1360
66,1,10,2,18,34,2,1,3,75,181,4000,0,600,1000
67,1,4,2,60,37,2,1,1,60,185,3000,0,1200,1564
68,1,9,2,60,53,2,1,1,45,170,2500,0,850,1205
69,1,22,1,60,46,2,1,1,93,176,7500,0,2000,2200
70,1,18,5,36,36,2,1,3,60,238,0,0,900,2214
71,1,1,3,60,46,2,1,1,60,115,5500,800,1000,1137
72,1,14,2,48,43,2,1,1,45,200,9000,0,600,1025
73,1,8,2,36,31,2,2,3,75,411,9000,4000,800,1593
74,1,5,2,24,43,2,1,1,75,93,3000,0,700,1735
75,1,19,1,60,38,2,1,1,86,108,0,0,1000,1132
76,1,14,2,12,37,2,1,3,90,500,4000,0,500,1338
77,1,0,6,36,46,2,2,4,45,45,0,0,900,1100
78,1,9,1,36,55,2,1,1,70,250,30000,0,1750,2276
79,1,29,2,48,56,2,1,1,45,100,3000,0,900,1360
80,1,10,2,36,55,2,1,1,60,70,4000,0,1000,1436
81,1,10,5,36,52,2,1,1,60,150,0,0,550,612
82,2,1,2,36,29,2,1,1,60,70,4500,0,850,1100
83,1,11,2,60,39,5,2,1,35,263,2500,0,1000,1300
84,1,10,2,60,38,2,1,3,75,200,9000,0,1000,2089
85,1,5,2,24,24,1,1,1,35,78,6000,3000,500,2262
86,1,10,1,60,28,1,1,1,47,120,0,0,600,1054
87,1,27,2,60,53,2,1,1,60,125,10000,0,1426,1426
88,2,0,1,60,25,1,1,2,40,50,0,0,1040,1048
89,2,25,1,60,62,2,1,1,60,146,0,0,1000,1292
90,1,3,5,60,29,1,1,1,35,70,0,0,950,1177
91,2,9,5,60,32,1,2,1,35,105,0,0,1490,1490
92,1,4,1,36,21,2,1,3,101,413,6000,0,750,850
93,1,6,1,36,38,2,1,3,95,500,25000,21400,800,1011
94,1,9,1,48,56,2,1,3,140,350,0,0,1400,1571
95,1,3,2,36,41,2,1,3,75,200,3000,0,1000,1000
96,2,22,6,36,46,2,1,1,45,138,0,0,250,270
97,1,3,2,60,54,3,1,4,35,80,4000,0,950,1382
98,1,30,2,36,51,2,1,3,120,208,15000,0,1500,1713
